incelenen_kaynak,bolum,incelenen_goruntu_sayisi,exif_bulunan_goruntu,gps_ifd_bulunan_goruntu,enlem_boylam_bulunan_goruntu,koordinat_dogrulanabilir_mi,kaynak_turu,guven_duzeyi,kullanim_karari,gerekce,olcum_karar_ayrimi,uretici_script,kosu_komut,kosu_tarih,kosu_surum_python,kosu_surum_pillow,kosu_platform,kosu_veri_kumesi,kosu_kapsam_notu
HERIDAL goruntu dosyasi (EXIF),train,1106,0,0,0,hayir,EXIF GPS,yok,kullanilamaz,"1106 goruntunun 0 tanesinde EXIF blogu var, 0 tanesinde enlem/boylam var. Okunamayan dosya: 0.",olcum,scripts/22_konum_kaynagi_tara.py,python scripts/22_konum_kaynagi_tara.py,2026-09-12 19:40:19,3.13.1,12.3.0,Darwin arm64,data/heridal,"yalnizca metadata okundu; hicbir cikarim calistirilmadi, model yuklenmedi"
HERIDAL goruntu dosyasi (EXIF),valid,316,0,0,0,hayir,EXIF GPS,yok,kullanilamaz,"316 goruntunun 0 tanesinde EXIF blogu var, 0 tanesinde enlem/boylam var. Okunamayan dosya: 0.",olcum,scripts/22_konum_kaynagi_tara.py,python scripts/22_konum_kaynagi_tara.py,2026-09-12 19:40:19,3.13.1,12.3.0,Darwin arm64,data/heridal,"yalnizca metadata okundu; hicbir cikarim calistirilmadi, model yuklenmedi"
HERIDAL goruntu dosyasi (EXIF),test,157,0,0,0,hayir,EXIF GPS,yok,kullanilamaz,"157 goruntunun 0 tanesinde EXIF blogu var, 0 tanesinde enlem/boylam var. Okunamayan dosya: 0.",olcum,scripts/22_konum_kaynagi_tara.py,python scripts/22_konum_kaynagi_tara.py,2026-09-12 19:40:19,3.13.1,12.3.0,Darwin arm64,data/heridal,"yalnizca metadata okundu; hicbir cikarim calistirilmadi, model yuklenmedi"
HERIDAL goruntu dosyasi (EXIF),TOPLAM,1579,0,0,0,hayir,EXIF GPS,yok,kullanilamaz,"OLCUM: 1579 goruntunun hicbirinde EXIF blogu yok. NEDEN HIPOTEZDIR: depodaki kunye dosyasi veri kumesinin bir Roboflow disa aktarimiyla geldigini gosteriyor, ancak EXIF'i o adimin sildigi OLCULMEDI -- ozgun HERIDAL yayinindaki kopya elimizde yok ve kaynakta hic EXIF olmamasi da ayni gozlemi uretir.",olcum,scripts/22_konum_kaynagi_tara.py,python scripts/22_konum_kaynagi_tara.py,2026-09-12 19:40:19,3.13.1,12.3.0,Darwin arm64,data/heridal,"yalnizca metadata okundu; hicbir cikarim calistirilmadi, model yuklenmedi"
Goruntu dosya adi,TOPLAM,1579,,,0,hayir,dosya adi,yok,kullanilamaz,"Adlar 'train_<ONEK>_<sira>_JPG.rf.<hash>.jpg' biciminde; onek kaynak veri kumesini gosterir, konum degil. Ondalik derece kalibina uyan ad sayisi 0. Sira numarasindan enlem/boylam turetmek uydurma olur.",olcum,scripts/22_konum_kaynagi_tara.py,python scripts/22_konum_kaynagi_tara.py,2026-09-12 19:40:19,3.13.1,12.3.0,Darwin arm64,data/heridal,"yalnizca metadata okundu; hicbir cikarim calistirilmadi, model yuklenmedi"
"Yan dosya (ucus gunlugu, gpx/kml/srt/csv/json)",TOPLAM,,,,0,hayir,ucus gunlugu / yan dosya,yok,kullanilamaz,"Veri kumesi kokunde koordinat tasiyan yan dosya yok. Bulunanlar: hicbiri. Bunlar sinif/bolum tanimi icerir, konum icermez.",olcum,scripts/22_konum_kaynagi_tara.py,python scripts/22_konum_kaynagi_tara.py,2026-09-12 19:40:19,3.13.1,12.3.0,Darwin arm64,data/heridal,"yalnizca metadata okundu; hicbir cikarim calistirilmadi, model yuklenmedi"
Veritabani Frame kaydi (latitude/longitude),yerel veritabani,494,0,,0,hayir,Frame.latitude / Frame.longitude,yok,kullanilamaz,"494 Frame kaydinin 0 tanesinde latitude, 0 tanesinde longitude, 0 tanesinde altitude_m, 0 tanesinde captured_at dolu. Alanlar modelde var ve alim sirasinda EXIF'ten doldurulmaya calisiliyor; kaynakta EXIF olmadigi icin bos kaliyorlar.",olcum,scripts/22_konum_kaynagi_tara.py,python scripts/22_konum_kaynagi_tara.py,2026-09-12 19:40:19,3.13.1,12.3.0,Darwin arm64,data/heridal,"yalnizca metadata okundu; hicbir cikarim calistirilmadi, model yuklenmedi"
POLITIKA: arayuzde konum gosterimi,Hafta 5,,,,,,,,gosterilmez,"Hicbir kaynakta dogrulanabilir koordinat yok. Arayuz gorev ve kare ayrintisinda 'Konum bilgisi mevcut degil' gosterir; harita, pin veya koordinat metni uretmez.",karar,scripts/22_konum_kaynagi_tara.py,python scripts/22_konum_kaynagi_tara.py,2026-09-12 19:40:19,3.13.1,12.3.0,Darwin arm64,data/heridal,"yalnizca metadata okundu; hicbir cikarim calistirilmadi, model yuklenmedi"
POLITIKA: turetilmis koordinat,Hafta 5,,,,,,,,yasak,"Dosya sirasindan, karo satir/sutunundan veya goruntu pikselinden enlem/boylam turetilmez. Bu degerler olcum degil uydurma olur ve arama ekibini yanlis noktaya yonlendirir.",karar,scripts/22_konum_kaynagi_tara.py,python scripts/22_konum_kaynagi_tara.py,2026-09-12 19:40:19,3.13.1,12.3.0,Darwin arm64,data/heridal,"yalnizca metadata okundu; hicbir cikarim calistirilmadi, model yuklenmedi"
POLITIKA: demo/sentetik koordinat,Hafta 6,,,,,,,,yalnizca acik etiketle,Hafta 6'da harita gosterimi gerekirse kullanilacak koordinat 'Demo konumu -- gercek GPS degildir' etiketiyle hem veride hem arayuzde isaretlenir; gercek EXIF veya gercek ucus rotasi gibi sunulmaz.,karar,scripts/22_konum_kaynagi_tara.py,python scripts/22_konum_kaynagi_tara.py,2026-09-12 19:40:19,3.13.1,12.3.0,Darwin arm64,data/heridal,"yalnizca metadata okundu; hicbir cikarim calistirilmadi, model yuklenmedi"
