goruntu,bolum,kaynak_onek,kutu_no,kutu_genislik_px,kutu_yukseklik_px,kutu_alan_px2,kutu_kenar_px,conf_esigi,eslesti,eslesen_skor,eslesen_iou,kosu_model,kosu_bolum,kosu_birlesik_bolumler,kosu_onek_filtresi,kosu_goruntu_sayisi,kosu_karo_boyutu,kosu_ortusme_orani,kosu_perform_standard_pred,kosu_postprocess_type,kosu_postprocess_match_metric,kosu_iou_esigi,kosu_cihaz,kosu_tarama_notu,kosu_gecerlilik_notu,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
train_BLA_0003_JPG.rf.616b0c1029f02fee1ff5ce38f3ca9c97.jpg,train,BLA,0,67.0,49.0,3283.0,57.3,0.05,0,,,yolo11n.pt,hepsi,train+valid+test,hepsi,1579,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",Bu olcum train+valid+test bolumlerini birlestiriyor. Model henuz egitilmedigi ve hicbir goruntuyu gormedigi icin gecerlidir; Hafta 3'te egitim yapildiktan sonra bu kosu tekrarlanamaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:03:18,scripts/01_taban_cizgisi.py --bolum hepsi --limit 0 --onek-bazinda --cikti reports/taban_cizgisi_onek.csv
train_BLA_0003_JPG.rf.616b0c1029f02fee1ff5ce38f3ca9c97.jpg,train,BLA,1,60.0,80.0,4800.0,69.3,0.05,1,0.7264,0.8282,yolo11n.pt,hepsi,train+valid+test,hepsi,1579,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",Bu olcum train+valid+test bolumlerini birlestiriyor. Model henuz egitilmedigi ve hicbir goruntuyu gormedigi icin gecerlidir; Hafta 3'te egitim yapildiktan sonra bu kosu tekrarlanamaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:03:18,scripts/01_taban_cizgisi.py --bolum hepsi --limit 0 --onek-bazinda --cikti reports/taban_cizgisi_onek.csv
train_BLA_0003_JPG.rf.616b0c1029f02fee1ff5ce38f3ca9c97.jpg,train,BLA,2,51.0,78.0,3978.0,63.1,0.05,0,,,yolo11n.pt,hepsi,train+valid+test,hepsi,1579,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",Bu olcum train+valid+test bolumlerini birlestiriyor. Model henuz egitilmedigi ve hicbir goruntuyu gormedigi icin gecerlidir; Hafta 3'te egitim yapildiktan sonra bu kosu tekrarlanamaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:03:18,scripts/01_taban_cizgisi.py --bolum hepsi --limit 0 --onek-bazinda --cikti reports/taban_cizgisi_onek.csv
train_BLA_0003_JPG.rf.616b0c1029f02fee1ff5ce38f3ca9c97.jpg,train,BLA,0,67.0,49.0,3283.0,57.3,0.15,0,,,yolo11n.pt,hepsi,train+valid+test,hepsi,1579,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",Bu olcum train+valid+test bolumlerini birlestiriyor. Model henuz egitilmedigi ve hicbir goruntuyu gormedigi icin gecerlidir; Hafta 3'te egitim yapildiktan sonra bu kosu tekrarlanamaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:03:18,scripts/01_taban_cizgisi.py --bolum hepsi --limit 0 --onek-bazinda --cikti reports/taban_cizgisi_onek.csv
train_BLA_0003_JPG.rf.616b0c1029f02fee1ff5ce38f3ca9c97.jpg,train,BLA,1,60.0,80.0,4800.0,69.3,0.15,1,0.7264,0.8282,yolo11n.pt,hepsi,train+valid+test,hepsi,1579,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",Bu olcum train+valid+test bolumlerini birlestiriyor. Model henuz egitilmedigi ve hicbir goruntuyu gormedigi icin gecerlidir; Hafta 3'te egitim yapildiktan sonra bu kosu tekrarlanamaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:03:18,scripts/01_taban_cizgisi.py --bolum hepsi --limit 0 --onek-bazinda --cikti reports/taban_cizgisi_onek.csv
train_BLA_0003_JPG.rf.616b0c1029f02fee1ff5ce38f3ca9c97.jpg,train,BLA,2,51.0,78.0,3978.0,63.1,0.15,0,,,yolo11n.pt,hepsi,train+valid+test,hepsi,1579,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",Bu olcum train+valid+test bolumlerini birlestiriyor. Model henuz egitilmedigi ve hicbir goruntuyu gormedigi icin gecerlidir; Hafta 3'te egitim yapildiktan sonra bu kosu tekrarlanamaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:03:18,scripts/01_taban_cizgisi.py --bolum hepsi --limit 0 --onek-bazinda --cikti reports/taban_cizgisi_onek.csv
train_BLA_0003_JPG.rf.616b0c1029f02fee1ff5ce38f3ca9c97.jpg,train,BLA,0,67.0,49.0,3283.0,57.3,0.3,0,,,yolo11n.pt,hepsi,train+valid+test,hepsi,1579,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",Bu olcum train+valid+test bolumlerini birlestiriyor. Model henuz egitilmedigi ve hicbir goruntuyu gormedigi icin gecerlidir; Hafta 3'te egitim yapildiktan sonra bu kosu tekrarlanamaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:03:18,scripts/01_taban_cizgisi.py --bolum hepsi --limit 0 --onek-bazinda --cikti reports/taban_cizgisi_onek.csv
train_BLA_0003_JPG.rf.616b0c1029f02fee1ff5ce38f3ca9c97.jpg,train,BLA,1,60.0,80.0,4800.0,69.3,0.3,1,0.7264,0.8282,yolo11n.pt,hepsi,train+valid+test,hepsi,1579,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",Bu olcum train+valid+test bolumlerini birlestiriyor. Model henuz egitilmedigi ve hicbir goruntuyu gormedigi icin gecerlidir; Hafta 3'te egitim yapildiktan sonra bu kosu tekrarlanamaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:03:18,scripts/01_taban_cizgisi.py --bolum hepsi --limit 0 --onek-bazinda --cikti reports/taban_cizgisi_onek.csv
train_BLA_0003_JPG.rf.616b0c1029f02fee1ff5ce38f3ca9c97.jpg,train,BLA,2,51.0,78.0,3978.0,63.1,0.3,0,,,yolo11n.pt,hepsi,train+valid+test,hepsi,1579,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",Bu olcum train+valid+test bolumlerini birlestiriyor. Model henuz egitilmedigi ve hicbir goruntuyu gormedigi icin gecerlidir; Hafta 3'te egitim yapildiktan sonra bu kosu tekrarlanamaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:03:18,scripts/01_taban_cizgisi.py --bolum hepsi --limit 0 --onek-bazinda --cikti reports/taban_cizgisi_onek.csv
train_BLA_0005_JPG.rf.e12671fa23eed87da9cc073fdd35392e.jpg,train,BLA,0,56.0,44.0,2464.0,49.6,0.05,0,,,yolo11n.pt,hepsi,train+valid+test,hepsi,1579,512,0.2,False,NMS,IOU,0.3,cpu,"tek tarama conf=0.05, yuksek esikler filtrelendi",Bu olcum train+valid+test bolumlerini birlestiriyor. Model henuz egitilmedigi ve hicbir goruntuyu gormedigi icin gecerlidir; Hafta 3'te egitim yapildiktan sonra bu kosu tekrarlanamaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-11 12:03:18,scripts/01_taban_cizgisi.py --bolum hepsi --limit 0 --onek-bazinda --cikti reports/taban_cizgisi_onek.csv
