kontrol,kullanici_rolu,veri_turu,beklenen,gerceklesen,gecti_kaldi,api,ekran_rota,otomatik_test,tarayici_kaniti,not,tarih,commit
Owner üyeleri yönetebiliyor,owner,gerçek görev,"Üye listesi, ekleme formu ve rol seçimi görünür; ekleme 201 döner","Dört üye listelendi, ekleme formu ve rol seçici açık; canlı API'de ekleme 201",gecti,GET/POST /api/missions/{id}/members/,/gorevler/56 → Üyeler,test_uyelik.py::test_owner_uye_ekleyebilir,06_gorev_uyeleri.png,,2026-09-13,8a0c09f
Operator üye yönetemiyor,operator,gerçek görev,Üye yönetimi denetimleri gizli; API 403,Canlı API'de üye ekleme 403,gecti,POST /api/missions/{id}/members/,/gorevler/{id} → Üyeler,test_yetki_matrisi.py::test_uye_ekleme_matrisi,-,,2026-09-13,8a0c09f
Operator inceleme yazabiliyor,operator,gerçek tespit,"Karar düğmeleri görünür, karar kaydedilir",Gerçek ONNX koşusundaki tespite 'Doğrulandı' yazıldı; liste 'h6_operator Doğrulandı' gösterdi,gecti,PUT /api/detections/{id}/reviews/,/kosular/10,test_inceleme.py::test_operator_inceleme_yazabilir,04_tespit_inceleme_karari.png,,2026-09-13,8a0c09f
Operator bulgu ve kümeleme yapabiliyor,operator,demo görev,"Bulgu yazma 201, kümeleme 200","Canlı API: bulgu 201, kümeleme 200",gecti,"POST /api/missions/{id}/findings/, /clusters/",/gorevler/56 → Bulgular,test_yetki_matrisi.py::test_bulgu_olusturma_matrisi,-,,2026-09-13,8a0c09f
Viewer salt okunur kalıyor,viewer,demo görev,"Yazma denetimleri gizli, salt okunur notu görünür; API 403","Tarama/kare/bulgu/kümeleme/sil düğmelerinin hiçbiri yok, üç sekmede de salt okunur notu var; API 403",gecti,POST uçları,/gorevler/56 tüm sekmeler,rolVeInceleme.test.tsx (viewer testleri),tarayıcıda DOM denetimi,Viewer haritayı ve bulgu listesini görmeye devam ediyor,2026-09-13,8a0c09f
Üye olmayan görev verisine erişemiyor,üye değil,gerçek + demo görev,"Görev, kare, koşu, tespit, bulgu ve denetim 404",Canlı API'de altı ucun hepsi 404; görev listesi boş,gecti,GET /api/missions/{id}/ ve alt uçları,/gorevler/{id},test_yetki_matrisi.py (matris testleri),tarayıcıda 404 hata durumu,403 değil 404: kaydın varlığı bile sızmıyor,2026-09-13,8a0c09f
/media/ üyelik denetimini dolaşamıyor,kimliksiz ve üye,gerçek kare,404 — yol tamamen kapalı,"Kimliksiz 404, kimlikli üye için de 404",gecti,/media/...,-,test_yetki_matrisi.py::test_media_yolu_artik_servis_edilmiyor,canlı sunucuda curl,Hafta 5'te bu yol 200 dönüyordu ve kimlik doğrulaması istemiyordu,2026-09-13,8a0c09f
Görüntü yalnızca güvenli uçtan geliyor,viewer ve üstü,gerçek kare,"Üye 200, üye olmayan 404; token URL'ye konmuyor","Üyeler 200, üye olmayan 404",gecti,GET /api/frames/{id}/image/,/kosular/10,test_yetki_matrisi.py::test_kare_goruntusu_matrisi,-,,2026-09-13,8a0c09f
Yol geçişi engelleniyor,owner,-,Yol parçası içeren istek 404,'../../etc/passwd' ve kodlanmış biçimleri 404,gecti,GET /api/frames/{x}/image/,-,test_yetki_matrisi.py::test_goruntu_ucu_yol_gecisine_kapali,-,Uç yalnızca birincil anahtar alıyor; dosya adı veritabanından okunuyor,2026-09-13,8a0c09f
Review AuditLog'a yazılıyor,operator,gerçek tespit,"Karar sonrası denetim kaydı oluşur, önceki/sonraki görünür","'Inceleme olusturuldu · Review #5', decision: — → accepted",gecti,GET /api/missions/{id}/audit/,/gorevler/12 → Faaliyet geçmişi,test_denetim.py::test_inceleme_olusturma_ve_guncelleme_ayri_kaydediliyor,05_faaliyet_gecmisi.png,,2026-09-13,8a0c09f
Denetim ekranı salt okunur,owner,gerçek görev,"Yazma denetimi yok, 'değiştirilemez' yazısı var, POST 405",Sayfalama dışında düğme yok; POST/PUT/DELETE 405,gecti,POST /api/missions/{id}/audit/,/gorevler/12 → Faaliyet geçmişi,test_denetim.py::test_denetim_ucunda_yazma_yontemi_yok,05_faaliyet_gecmisi.png,,2026-09-13,8a0c09f
Denetimde hassas veri yok,operator,gerçek kayıt,"parola, token, e-posta ve ham JSON görünmez",Tarayıcıda beş yasak dizgenin hiçbiri yok; ham JSON basılmıyor,gecti,GET /api/missions/{id}/audit/,/gorevler/12 → Faaliyet geçmişi,test_denetim.py::test_hassas_anahtarlar_denetime_yazilmiyor,DOM metin denetimi,,2026-09-13,8a0c09f
Başarısız işlem sahte denetim üretmiyor,owner,gerçek görev,Son sahip düşürme reddedilince kayıt sayısı değişmez,"400 döndü, denetim sayısı sabit kaldı",gecti,PATCH /api/missions/{id}/members/{id}/,-,test_denetim.py::test_basarisiz_rol_degisikligi_denetim_kaydi_uretmiyor,-,Denetim kaydı işlemle aynı transaction içinde yazılıyor,2026-09-13,8a0c09f
Son sahip korunuyor,owner,gerçek görev,Son owner düşürülemez ve çıkarılamaz,İkisi de 400; arayüzde denetimler kilitli ve nedeni yazılı,gecti,PATCH/DELETE /api/missions/{id}/members/{id}/,/gorevler/{id} → Üyeler,test_uyelik.py::test_son_owner_cikarilamaz,06_gorev_uyeleri.png,,2026-09-13,8a0c09f
Demo bulgular açıkça etiketli,owner,demo görev,"Harita üstünde kalıcı uyarı, kesikli işaret, popup'ta kaynak, listede rozet",Uyarı görünür ve kapatma düğmesi yok; popup 'DEMO — gerçek GPS değildir' ve 'Demo / sentetik' gösterdi,gecti,GET /api/missions/{id}/findings/,/gorevler/56 → Bulgular,harita.test.tsx (demo testleri),"02_demo_konum_haritasi.png, 03_bulgu_balonu_ve_kume.png",,2026-09-13,8a0c09f
Konumsuz görevde harita açılmıyor,operator,gerçek görev (HERIDAL),'Bu görevde konum bilgisi mevcut değil' ve harita kabı hiç oluşmaz,"Boş durum göründü, harita kabı DOM'da yok",gecti,GET /api/missions/{id}/findings/,/gorevler/12 → Bulgular,harita.test.tsx::konum yokken,01_konumsuz_gorev_bos_durum.png,Boş dünya haritası göstermek 'konum var ama işaret yok' izlenimi verirdi,2026-09-13,8a0c09f
Leaflet marker ve popup çalışıyor,owner,demo görev,"İşaretler çizilir, popup kaynak ve küme bilgisi gösterir","10 işaret; popup: başlık, DEMO rozeti, kaynak, durum, koordinat, küme (demo #4 · 1 bulgu), ekleyen",gecti,"GET /api/missions/{id}/findings/, /clusters/",/gorevler/56 → Bulgular,harita.test.tsx::harita gösterimi,03_bulgu_balonu_ve_kume.png,,2026-09-13,8a0c09f
Union-Find sonucu API ve haritada tutarlı,owner,demo görev,"11 bulgunun 10'u kümelenir, 1 konumsuz dışarıda; 4 küme","API: kume_sayisi=4, kumelenen_bulgu=10, konumsuz_bulgu=1. Haritada 3'lü kümeler ve tekil nokta aynı",gecti,POST /api/missions/{id}/clusters/,/gorevler/56 → Bulgular,"test_kumeleme.py, scripts/23",03_bulgu_balonu_ve_kume.png,"Eşik 50 m — KARAR, ölçüm değil",2026-09-13,8a0c09f
Tile servisi erişilemezken uygulama çökmüyor,owner,demo görev,"Açıklayıcı mesaj, bulgular kaybolmaz",'Harita karoları yüklenemedi' göründü; harita kabı ve bulgu tablosu ayakta,gecti,-,/gorevler/56 → Bulgular,-,tarayıcıda tile error olayı tetiklendi,,2026-09-13,8a0c09f
Attribution görünür,owner,demo görev,OpenStreetMap atıfı haritada,'Leaflet | © OpenStreetMap katkıda bulunanları',gecti,-,/gorevler/56 → Bulgular,-,02_demo_konum_haritasi.png,,2026-09-13,8a0c09f
Üretim derlemesinde Leaflet çalışıyor,owner,demo görev,"CSS uygulanır, işaretler görünür, karolar yüklenir","vite preview (üretim paketi): .leaflet-container position=relative, 10 işaret (24px, kesikli, yuvarlak), 18 karo, attribution ve demo uyarısı var",gecti,-,http://localhost:4173/gorevler/56,-,üretim derlemesinde DOM denetimi,Leaflet'in varsayılan ikonu derlemede kaybolduğu için ikonlar kod içinde çiziliyor,2026-09-13,8a0c09f
Küçük ekranda akış bozulmuyor,owner,demo görev,"390 px'de yatay sayfa kaydırması yok, harita ve uyarı görünür",scrollWidth = clientWidth = 375; harita 299×318; demo uyarısı görünür,gecti,-,/gorevler/56,-,tarayıcıda 390×844 ölçümü,Bulgu tablosu kendi yatay kaydırma kabında; sayfa taşmıyor,2026-09-13,8a0c09f
Klavye odağı görünür,owner,demo görev,Tab ile gezilen denetimde belirgin odak çerçevesi,"Tab sonrası :focus-visible true, 3px solid rgb(255,209,102) — Leaflet denetimleri dâhil",gecti,-,/gorevler/56,-,tarayıcıda gerçek Tab tuşu,Programatik focus() :focus-visible tetiklemediği için ölçüm gerçek tuşla yapıldı,2026-09-13,8a0c09f
Konsolda uygulama kaynaklı hata yok,tümü,gerçek + demo,Normal akışta 0 hata,Güncel gezinmede 0 hata; yalnızca kasıtlı üye-olmayan denemesinde tarayıcının kendi 404 satırları,gecti,-,tüm rotalar,-,browser_console_messages,404 satırları tarayıcının yanıt günlüğü; uygulama hata durumunu gösterip devam ediyor,2026-09-13,8a0c09f
Beklenmeyen başarısız ağ isteği yok,owner,demo görev,Tüm API istekleri 200,Yedi API isteğinin hepsi 200,gecti,-,/gorevler/56,-,browser_network_requests,,2026-09-13,8a0c09f
404 mesajı İngilizce sızdırmıyor,üye değil,gerçek görev,Kullanıcıya Türkçe genel mesaj gösterilir,Düzeltmeden önce 'No Mission matches the given query.' görünüyordu; artık 'Aradığınız kayıt bulunamadı.',gecti,GET /api/missions/{id}/,/gorevler/12,istemci.test.ts::404 metni,tarayıcıda bulundu ve düzeltildi,Tarayıcı doğrulamasında bulunan kusur,2026-09-13,8a0c09f
