kontrol,beklenen,gerceklesen,gecti_kaldi,dogrulama_turu,api_yolu,ekran_rota,test_veya_kanit,not,tarih,commit
Giriş (JWT),"Doğru kimlikle access+refresh alınır, korumalı sayfaya geçilir","200 döndü, iki token saklandı, /gorevler açıldı",gecti,tarayıcı + otomatik test,POST /api/auth/token/,/giris,kimlikAkisi.test.tsx: basarili giriste tokenlari saklar; tarayıcı: giriş → /gorevler,,2026-09-12,36e5f5e
Hatalı parola,"401 ve anlaşılır mesaj, sayfada kalınır","401 detail mesajı gösterildi, token yazılmadı",gecti,otomatik test + curl,POST /api/auth/token/,/giris,kimlikAkisi.test.tsx: hatali kullanici/parola durumunda,,2026-09-12,36e5f5e
Sessiz token yenileme,"Access geçersizken istek 401 alır, yenilenir, tekrarlanır; kullanıcı çıkış görmez","Bozuk access ile /gorevler açıldı; görev tablosu geldi, access yenilendi",gecti,tarayıcı + otomatik test,POST /api/auth/token/refresh/,/gorevler,istemci.test.ts: 401 alinca tokeni yeniler; tarayıcıda localStorage access bozulup doğrulandı,"Tarayıcı konsolunda 401 satırı görünür; bu uygulamanın hatası değil, tarayıcının başarısız yanıtı günlüklemesidir. Uygulama isteği yenileyip tamamlar.",2026-09-12,36e5f5e
Eşzamanlı 401,Aynı anda birden çok 401 TEK yenileme isteği üretir,4 eşzamanlı istekte yenileme sayısı 1,gecti,otomatik test,POST /api/auth/token/refresh/,-,istemci.test.ts: eszamanli 401'ler TEK yenileme istegi uretir,,2026-09-12,36e5f5e
Yenileme düşmesi,Refresh de geçersizse oturum kapanır ve izler silinir,"Giriş ekranına dönüldü, localStorage tamamen boşaldı",gecti,tarayıcı + otomatik test,POST /api/auth/token/refresh/,/giris,kimlikAkisi.test.tsx: yenileme dusunce elle cikisla AYNI izleri siler,,2026-09-12,36e5f5e
Korumalı rota,Girişsiz korumalı adres giriş ekranına yönlenir,/gorevler → /giris,gecti,tarayıcı + otomatik test,-,/gorevler,kimlikAkisi.test.tsx: korumali rota girissiz acilirsa,,2026-09-12,36e5f5e
Görev listesi,Görevler kare sayımları ve son koşu ile listelenir,"2 görev listelendi; kare sayısı, durum kırılımı, son tarama ve model göründü",gecti,tarayıcı + otomatik test,GET /api/missions/,/gorevler,gorevListesi.test.tsx: gorevin kare sayimlarini; ekran görüntüsü 02_gorev_listesi.png,,2026-09-12,36e5f5e
Yeni görev oluşturma,"Ad zorunlu, oluşunca görev ayrıntısına geçilir","""Hafta 5 entegrasyon denemesi"" oluşturuldu, /gorevler/12 açıldı",gecti,tarayıcı,POST /api/missions/,/gorevler,"tarayıcı: form gönderildi, 201 ve yönlendirme",,2026-09-12,36e5f5e
Çift gönderim engeli (görev),İstek uçarken ikinci POST gitmez,3 tıklamada POST sayısı 1,gecti,otomatik test,POST /api/missions/,/gorevler,gorevListesi.test.tsx: cift tiklama ikinci bir POST uretmez,,2026-09-12,36e5f5e
Kare ekleme,"Seçilen görüntüler yüklenir, dosya başına sonuç gösterilir","2 gerçek HERIDAL görüntüsü yüklendi, ""2 dosya işlendi"" ve dosya listesi göründü",gecti,tarayıcı + otomatik test,POST /api/missions/{id}/frames/,/gorevler/12,kareEkleme.test.tsx: her dosya AYRI istekle gonderilir,,2026-09-12,36e5f5e
