model,bolge_turu,alt_kategori,adet,grup_toplami,oran,ornek_bayragi,kosu_protokol,kosu_etiket_kaynagi,kosu_anahtar_kaynagi,kosu_bootstrap_yineleme,kosu_tohum,kosu_yeniden_test_esigi,kosu_kapsam_notu,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
Model-512,fp,insan_suphesi,9,19,0.4737,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Model-512,fp,altyapi_ekipman,7,19,0.3684,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Model-512,fp,baska,3,19,0.1579,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Model-512,kontrol,yol_patika,8,19,0.4211,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Model-512,kontrol,dogal_bitki,6,19,0.3158,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Model-512,kontrol,tarimsal_duzen,3,19,0.1579,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Model-512,kontrol,belirsiz,1,19,0.0526,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Model-512,kontrol,kaya_toprak,1,19,0.0526,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Taban-512,fp,insan_suphesi,11,26,0.4231,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Taban-512,fp,altyapi_ekipman,7,26,0.2692,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Taban-512,fp,baska,5,26,0.1923,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
Taban-512,fp,belirsiz,2,26,0.0769,bagimsiz sonuc degil,reports/hafta7_fp_protokolu.md,hafta7_fp_gorsel_etiketler.csv,hafta7_fp_korleme_anahtari.csv,10000,20260913,0.8,Tek etiketleyici yeniden-test tutarliligi olculdu; annotatorlar arasi guvenilirlik DEGILDIR. Nedensellik iddiasi kurulmaz.,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-13 10:37:09,scripts/27_fp_analiz.py
