islem,yontem,yol,kimlik_dogrulama,request_alanlari,response_alanlari,basari_kodu,beklenen_hata_kodlari,sayfalama,frontend_kullanimi,kaynak_kod_konumu,dogrulama_bicimi,not_veya_kisit,kosu_tarih,kosu_commit,kosu_taban_adres
Giris (access + refresh token al),POST,/api/auth/token/,hayir,username; password,access; refresh,200,401 hatali kimlik; 400 eksik alan,yok,Giris ekrani,core/urls.py -> simplejwt TokenObtainPairView,kod + calisan istek,"401 govdesi: detail='No active account found with the given credentials'. Access omru varsayilan 5 dk, refresh 1 gun (SIMPLE_JWT ayari tanimli degil).",2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Token yenileme,POST,/api/auth/token/refresh/,hayir (refresh token govdede),refresh,access,200,401 gecersiz/suresi dolmus refresh (code=token_not_valid),yok,401 alininca sessiz yenileme; basarisizsa cikis,core/urls.py -> simplejwt TokenRefreshView,kod + calisan istek,"ROTASYON YOK: yanit yalnizca 'access' doner, refresh degismez. Istemci ayni refresh'i saklamaya devam eder.",2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Saglik kontrolu,GET,/api/health/,hayir,-,status; database,200,503 veritabani erisilemez,yok,kullanilmiyor (izleme ucu),core/views.py: health,kod + test,AllowAny; tek kimlik dogrulamasiz uc.,2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Gorev listesi,GET,/api/missions/,evet (Bearer),page (sorgu),"count; next; previous; results[id, name, description, created_by, created_at, updated_at, frame_count, frame_counts{pending,queued,processing,done,failed}, latest_run|null]",200,401 kimliksiz,"PageNumberPagination, PAGE_SIZE=20",Gorev listesi ekrani,core/views.py: MissionListCreateView; core/serializers.py: MissionSerializer,kod + calisan istek + test,Yalnizca created_by=istekte bulunan kullanici. frame_count/frame_counts/latest_run HAFTA 5'te EKLENDI (salt okunur).,2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Gorev olusturma,POST,/api/missions/,evet,"name (zorunlu, max 200); description (istege bagli)",id; name; description; created_by; created_at; updated_at; frame_count; frame_counts; latest_run,201,400 name bos ({'name':['This field may not be blank.']}); 401,yok,Yeni gorev formu,core/views.py: MissionListCreateView.perform_create,kod + calisan istek + test,"created_by istemciden ALINMAZ, oturumdan yazilir.",2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Gorev ayrintisi,GET,/api/missions/{id}/,evet,-,Gorev listesindeki tek nesne ile ayni alanlar,200,404 yok veya baskasinin; 401,yok,Gorev ayrinti sayfasi (dogrudan gidis / yeniden yukleme),core/views.py: MissionDetailView,kod + calisan istek + test,HAFTA 5'TE EKLENDI. Onceden 404'tu; yeniden yukleme sonrasi gorev ayrintisi acilamiyordu. Yeni model/migration yok.,2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Kare listesi,GET,/api/missions/{id}/frames/,evet,"status (sorgu, istege bagli); page","count; next; previous; results[id, mission, image, original_filename, sha256, width, height, captured_at, latitude, longitude, altitude_m, status, created_at]",200,400 gecersiz status; 404 baskasinin gorevi; 401,"PageNumberPagination, PAGE_SIZE=20",Gorev ayrintisi kare tablosu; tespit inceleme kare secimi,core/views.py: MissionFrameListCreateView.get_queryset,kod + calisan istek + test,Siralama -created_at. latitude/longitude/captured_at HERIDAL'de HEP null (bkz. hafta5_gps_kaynak_karari.csv). 'image' alani MEDIA_URL adresidir ve KIMLIK DOGRULAMASIZ servis edilir; arayuz bunu kullanmaz.,2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Kare ekleme (dosya yukleme),POST,/api/missions/{id}/frames/,evet,multipart/form-data; 'images' alani (bir veya cok dosya),"[{id, filename, duplicate, width, height}]",201,400 dosya yok ({'images':'En az bir dosya gonderilmeli.'}); 400 gecersiz goruntu ({'images':'<ad>: Dosya gecerli bir goruntu degil.'}); 404; 401,yok,Kare ekleme ekrani,core/views.py: MissionFrameListCreateView.post; core/services.py: ingest_frame,kod + calisan istek + test,"KISIT: tek istekte bir dosya bozuksa TUM istek 400 doner (ValidationError). Kismi sonuc icin arayuz dosyalari TEK TEK gonderir. duplicate=true, ayni gorevde ayni sha256 demektir (UniqueConstraint uniq_frame_sha256_per_mission); yeni kayit acilmaz, mevcut id doner. Olculer ve EXIF DOSYADAN okunur, istemci iddiasi yok sayilir.",2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Kare goruntusu (kimlik dogrulamali),GET,/api/frames/{id}/image/,evet (Bearer basligi),-,ikili goruntu govdesi; Content-Type: image/*; X-Content-Type-Options: nosniff,200,404 yok/baskasinin/dosya diskte yok; 401,yok,Tespit inceleme ekraninda goruntu (blob olarak alinir),core/views.py: FrameImageView,kod + calisan istek + test,"HAFTA 5'TE EKLENDI. Gerekce: /media/ adresi DEBUG'ta kimlik dogrulamasiz servis ediliyor, uretimde hic servis edilmiyor. Dosya yolu istemciden GELMEZ, yalnizca Frame birincil anahtari alinir -- yol gecisi yuzeyi yok. Token URL'ye KONULMAZ.",2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Model surumleri,GET,/api/models/,evet,page,"count; next; previous; results[id, name, framework, input_size, tile_size, overlap_ratio, notes, created_at]",200,401,"PageNumberPagination, PAGE_SIZE=20",Tarama baslatma formunda model secimi,core/views.py: ModelVersionListView,kod + calisan istek + test,"Siralama -created_at. Su an iki kayit: model512-onnx (framework=onnx, gercek model) ve fake-v0 (framework=fake, sahte dedektor). Arayuz varsayilani SABIT YAZMAZ; framework=='onnx' olan en yeni kaydi secer.",2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Tarama baslatma,POST,/api/missions/{id}/runs/,evet,"model_version_id (zorunlu); conf_threshold (0-1, vars. 0.25); iou_threshold (0-1, vars. 0.45); tile_size (32-4096, vars. 512); overlap_ratio (0-0.9, vars. 0.2)",run_id; status; frames_total,202,"400 karesiz gorev ({'frames':'Gorevde hic kare yok, tarama baslatilamaz.'}); 400 gecersiz model_version_id; 404 baskasinin gorevi; 401",yok,Tarama baslat dugmesi,core/views.py: MissionRunListCreateView.post; core/tasks.py: run_inference,kod + calisan istek + test,"202 = kabul edildi, bitti degil. Gorev transaction.on_commit ile kuyruga girer. Yanittaki status DAIMA 'pending'. Yeniden baslatma/iptal ucu YOK.",2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Gorev kosulari listesi,GET,/api/missions/{id}/runs/,evet,page,"count; next; previous; results[id, mission, model_version, model_version_name, status, conf_threshold, iou_threshold, tile_size, overlap_ratio, frames_total, frames_done, frames_failed, started_at, finished_at]",200,404 baskasinin gorevi; 401,"PageNumberPagination, PAGE_SIZE=20",Gorev ayrintisinda aktif/son kosuyu bulma (yeniden yukleme sonrasi),core/views.py: MissionRunListCreateView.get_queryset,kod + calisan istek + test,"HAFTA 5'TE EKLENDI. Onceden ayni yol yalnizca POST kabul ediyordu (GET -> 405). Siralama -started_at, -id: ilk kayit en yeni kosudur.",2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Kosu durumu / ilerleme,GET,/api/runs/{id}/,evet,-,id; mission; model_version; model_version_name; status; conf_threshold; iou_threshold; tile_size; overlap_ratio; frames_total; frames_done; frames_failed; started_at; finished_at,200,404 yok/baskasinin; 401,yok,Tarama ilerleme yoklamasi (polling),core/views.py: RunDetailView,kod + calisan istek + test,"status degerleri: pending, running, done, failed. TERMINAL: done ve failed -- arayuz yoklamayi bu ikisinde durdurur. En az bir kare basarisiz olsa bile kosu 'done' olur; kismi basarisizlik frames_failed sayacinda gorunur (core/tasks.py: finalize_run).",2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
Tespit listesi,GET,/api/runs/{id}/detections/,evet,"min_score (0-1, istege bagli); frame_id (istege bagli); page","count; next; previous; results[id, inference_run, frame, score, x1, y1, x2, y2, tile_row, tile_col, created_at]",200,"400 min_score sayi degil / [0,1] disi; 400 frame_id tam sayi degil; 404 baskasinin kosusu; 401","PageNumberPagination, PAGE_SIZE=20",Tespit inceleme ekrani; goruntuleme esigi min_score ile uygulanir,core/views.py: RunDetectionListView,kod + calisan istek + test,"KOORDINAT UZAYI: x1/y1/x2/y2 ORIJINAL goruntu pikseli (karo duzlemi DEGIL), tam sayi; frame.width/height ile sinirlandirilmis. score float [0,1]. Siralama -score, id. min_score verilmezse kosunun conf_threshold'u uygulanir; kayit tabani DETECTION_STORE_FLOOR=0.05, yani esik okuma aninda uygulanir, kayda pisirilmez.",2026-09-12,d30e082,"http://localhost:8000 (docker compose, yerel)"
