kosu,grup,conf_esigi,goruntu_sayisi,hedef_sayisi,dogru_bulunan_tp,kacirilan_fn,recall,fp_goruntu_basina,fp_durumu,az_ornek,kosu_girdi,kosu_tarama_notu,kosu_recall_turetimi,kosu_fp_turetimi,kosu_az_ornek_siniri,kosu_surum_python,kosu_surum_ultralytics,kosu_surum_sahi,kosu_surum_torch,kosu_tarih,kosu_komut
Taban-512,TOPLAM,0.05,157,970,690,280,0.7113,18.24,ozet CSV'de olculdu,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.06,157,970,671,299,0.6918,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.07,157,970,654,316,0.6742,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.08,157,970,644,326,0.6639,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.09,157,970,630,340,0.6495,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.1,157,970,602,368,0.6206,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.11,157,970,587,383,0.6052,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.12,157,970,567,403,0.5845,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.13,157,970,557,413,0.5742,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.14,157,970,545,425,0.5619,olculmedi,olculmedi,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
Taban-512,TOPLAM,0.15,157,970,532,438,0.5485,5.45,ozet CSV'de olculdu,,reports/test_kutu_bazinda.csv + reports/test_kutu_bazinda_model512.csv,yeni model taramasi yapilmadi; mevcut kutu bazinda kayitlardan turetildi,eslesen_skor >= esik; olculmus uc esikte birebir dogrulandi,Model-512: tahminler_model512.csv'den turetildi (tum esikler dolu). Taban-512: tahmin kaydi alinmadigi icin yalnizca olculmus uc esikte dolu.,50,3.13.1,8.4.144,0.12.6,2.14.0,2026-09-12 08:58:24,scripts/13_kutu_bazinda_karsilastir.py
